Year,Division,Category,Dance_Type,Team_Size,Is_Coed,Rank,Is_Champion,Is_Podium,Is_Top_10,Studio_Name,Team_Name,Country
2015,Junior,Junior Dance,Junior Dance,Standard,No,1,1,1,1,Dancer'S Edge Studio,Dancer'S Edge,USA
2015,Junior,Junior Dance,Junior Dance,Standard,No,2,0,1,1,C*Star,C*Star Artis,Japan
2015,Junior,Junior Dance,Junior Dance,Standard,No,3,0,1,1,Dancin Bluebonnets,Dancin' Bluebonnets - Open Jazz,USA
2015,Junior,Junior Dance,Junior Dance,Standard,No,4,0,0,1,South Coast Freestyle,South Coast Freestyle,USA
2015,Junior,Junior Dance,Junior Dance,Standard,No,5,0,0,1,Golden Hawks,Golden Hawks Jr,Japan
2015,Junior,Junior Dance,Junior Dance,Standard,No,6,0,0,1,Jexer Fitness Cuib Omiya,Jexer Fitness Cuib Omiya Zingys,Japan
2015,Junior,Junior Dance,Junior Dance,Standard,No,7,0,0,1,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza - I Believe,Ecuador
2015,Junior,Junior Dance,Junior Dance,Standard,No,8,0,0,1,Uniques,Uniques Academy,Colombia
2015,Junior,Junior Dance,Junior Dance,Standard,No,9,0,0,1,The Legacy - So What,The Legacy - So What,Netherlands
2015,Junior,Junior Dance,Junior Dance,Standard,No,10,0,0,1,Evolution Of Dance,Evolution Of Dance,USA
2015,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,1,1,1,1,Premier Athletics - Clayton Shockers,Premier Athletics Clayton Shockers - Supanovaz,USA
2015,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,2,0,1,1,Extreme All Stars | Florida,Extreme All Stars,USA
2015,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,3,0,1,1,Pittsburgh Poison,Pittsburgh Poison,USA
2015,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,4,0,0,1,Elite Dance Center,Elite Dance Center,Chile
2015,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,5,0,0,1,Ada Dark Angels,Ada Dark Angels,England
2015,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,6,0,0,1,Rockets,Rockets,Mexico
2015,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,7,0,0,1,Uniques,Uniques Academy,Colombia
2015,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,8,0,0,1,Team Puerto Rico,Team Puerto Rico,Puerto Rico
2015,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,9,0,0,1,Dukan Dance,Dukan Dance,Colombia
2015,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,10,0,0,1,Chinese Taipei,Chinese Tapei Amazing Dance Crew,Taiwan
2015,Open,Open Coed Jazz,Jazz,Standard,Yes,1,1,1,1,Pace Elite,Pace Elite,USA
2015,Open,Open Coed Jazz,Jazz,Standard,Yes,2,0,1,1,Dance Dynamics,Dance Dynamics,USA
2015,Open,Open Coed Jazz,Jazz,Standard,Yes,3,0,1,1,Xihua University,Xihua University,China
2015,Open,Open Coed Jazz,Jazz,Standard,Yes,4,0,0,1,Elite Dance Center,Elite Dance Center,Chile
2015,Open,Open Coed Jazz,Jazz,Standard,Yes,5,0,0,1,Team Puerto Rico,Team Puerto Rico,Puerto Rico
2015,Open,Open Coed Jazz,Jazz,Standard,Yes,6,0,0,1,Bradshaw Dancers,Bradshaw Elite,USA
2015,Open,Open Coed Jazz,Jazz,Standard,Yes,7,0,0,1,Rocheer,Rocheer Studio,Mexico
2015,Open,Open Coed Jazz,Jazz,Standard,Yes,8,0,0,1,Dance Mania,Dance Mania,USA
2015,Open,Open Coed Jazz,Jazz,Standard,Yes,9,0,0,1,Novadanza,Novadanza - Over The Love,Ecuador
2015,Open,Open Coed Jazz,Jazz,Standard,Yes,10,0,0,1,Dreamtyme,Dreamtyme - Dream Elite,USA
2015,Open,Open Coed Jazz,Jazz,Standard,Yes,11,0,0,0,Star Spirit,Star Spirit - Zero Gravity,England
2015,Open,Open Coed Pom,Pom,Standard,Yes,1,1,1,1,Pace Elite,Pace Elite,USA
2015,Open,Open Coed Pom,Pom,Standard,Yes,2,0,1,1,Energizers Dance Team,Energizers Dance Team,USA
2015,Open,Open Coed Pom,Pom,Standard,Yes,3,0,1,1,Star Performance Centre,Star Performance Centre,USA
2015,Open,Open Coed Pom,Pom,Standard,Yes,4,0,0,1,Champion Dance & Cheer Allstars,Champion Dance And Cheer,Scotland
2015,Open,Open Coed Pom,Pom,Standard,Yes,5,0,0,1,Rocheer,Rocheer Studio,Mexico
2015,Open,Open Coed Pom,Pom,Standard,Yes,6,0,0,1,Xihua University,Xihua University,China
2015,Open,Open Coed Pom,Pom,Standard,Yes,7,0,0,1,Abejas,Abejas Salamanca,Mexico
