Year,Rank,Country,Dance_Type,Category_Standardized,Division,Studio_Name_Clean,Team_Name_Clean
2015,1,USA,Junior Dance,Junior Dance,Junior,Dancer'S Edge Studio,Dancer'S Edge
2016,1,USA,Junior Dance,Junior Dance,Junior,Dancer'S Edge Studio,Dancer'S Edge Studio
2017,1,USA,Junior Dance,Junior Dance,Junior,Dancer'S Edge Studio,Dancer'S Edge Studio- Junior Lyrical
2015,2,Japan,Junior Dance,Junior Dance,Junior,C*Star,C*Star Artis
2016,2,USA,Junior Dance,Junior Dance,Junior,The Vision Dance Center,The Vision Dance Center
2017,2,USA,Junior Dance,Junior Dance,Junior,The Vision Dance Center,The Vision Dance Center
2015,3,USA,Junior Dance,Junior Dance,Junior,Dancin Bluebonnets,Dancin' Bluebonnets - Open Jazz
2016,3,USA,Junior Dance,Junior Dance,Junior,Dancin Bluebonnets,Dancin' Bluebonnets
2017,3,Japan,Junior Dance,Junior Dance,Junior,Abe Dance Promotion,Abe Dance Promotion- Blue Star
2015,4,USA,Junior Dance,Junior Dance,Junior,South Coast Freestyle,South Coast Freestyle
2016,4,Ecuador,Junior Dance,Junior Dance,Junior,Manabiya,Manabiya - Dreams
2017,4,Japan,Junior Dance,Junior Dance,Junior,Kawai Dance Agency Japan,Kawai Dance Agency
2015,5,Japan,Junior Dance,Junior Dance,Junior,Golden Hawks,Golden Hawks Jr
2016,5,Japan,Junior Dance,Junior Dance,Junior,Jexer Fitness Cuib Omiya,Jexer Fitness Cuib Omiya - Zingys
2017,5,USA,Junior Dance,Junior Dance,Junior,Strut Performing Arts,Strut Performing Arts Center- Junior Hip Hop
2015,6,Japan,Junior Dance,Junior Dance,Junior,Jexer Fitness Cuib Omiya,Jexer Fitness Cuib Omiya Zingys
2016,6,USA,Junior Dance,Junior Dance,Junior,Spg Dance Project,Spg Dance Project - H Beat Beans
2017,6,Colombia,Junior Dance,Junior Dance,Junior,Uniques,Uniques Academy
2015,7,Ecuador,Junior Dance,Junior Dance,Junior,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza - I Believe
2016,7,Ecuador,Junior Dance,Junior Dance,Junior,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza
2017,7,USA,Junior Dance,Junior Dance,Junior,Kld X-Treme All Star Cheerleaders,Kld All Stars - Elite Reign
2015,8,Colombia,Junior Dance,Junior Dance,Junior,Uniques,Uniques Academy
2016,8,Ecuador,Junior Dance,Junior Dance,Junior,Escuela De Danza Adriana Yepez,Escuela De Danza Adriana Yepez
2017,8,USA,Junior Dance,Junior Dance,Junior,Mc Planet Dance,Mc Planet Dance
2015,9,Netherlands,Junior Dance,Junior Dance,Junior,The Legacy - So What,The Legacy - So What
2016,9,Ukraine,Junior Dance,Junior Dance,Junior,Team Ukraine,Ukraine - Grace
2017,9,Scotland,Junior Dance,Junior Dance,Junior,Champion Dance & Cheer Allstars,Champion Dance And Cheer All Stars
2015,10,USA,Junior Dance,Junior Dance,Junior,Evolution Of Dance,Evolution Of Dance
2016,10,Unknown,Junior Dance,Junior Dance,Junior,Black Out Company,Black Out Company
2017,10,Mexico,Junior Dance,Junior Dance,Junior,Dancing Dream Center,Dancing Dream Center
2016,11,Colombia,Junior Dance,Junior Dance,Junior,Club Mountain Envigado,Club Mountain Envigado
2017,11,USA,Junior Dance,Junior Dance,Junior,Zacs Allstars,Zacs Allstars
2016,12,Colombia,Junior Dance,Junior Dance,Junior,Colegio Palermo De Medellin,Colegio Palermo De Medellin
2017,12,Germany,Junior Dance,Junior Dance,Junior,Rokkaz,Rokkaz- Junior Rokkaz
2017,13,Mexico,Junior Dance,Junior Dance,Junior,Ceam,Ceam Mexico- Team 1
2017,14,Mexico,Junior Dance,Junior Dance,Junior,Ceam,Ceam Mexico- Team 2
2017,15,Colombia,Junior Dance,Junior Dance,Junior,Fundacion Tributo,Fundacion Tributo
2017,16,Ecuador,Junior Dance,Junior Dance,Junior,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza
2017,17,China,Junior Dance,Junior Dance,Junior,Jiefang Road Primary School Of Linfen City,Jiefang Road Primary School Of Linfen City
2017,18,Unknown,Junior Dance,Junior Dance,Junior,Black Out Company,Black Out Company
2017,19,Costa Rica,Junior Dance,Junior Dance,Junior,Palermo De San Jose,Palermo De San Jose
2017,1,USA,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,Dance Dynamics,Dance Dynamics
2018,1,USA,Contemporary/Lyrical,Open Contemporary/Lyrical,Open,The Vision Dance Center,The Vision Dance Center
